Fold,Random_Seed,Balanced_Accuracy,Recall,AUC,Precision
1,42,0.7236842105263157,0.5,0.736842105263158,0.875
2,123,0.7330827067669172,0.5714285714285714,0.8082706766917294,0.8
3,456,0.8139097744360901,0.7857142857142857,0.8082706766917293,0.7857142857142857
4,789,0.7951127819548872,0.6428571428571429,0.8195488721804511,0.9
5,1024,0.7330827067669172,0.5714285714285714,0.8421052631578948,0.8
